IdForma,Descripción,Tamaño (CM),Peso (KG)
700 - A,"A través de sus apéndices sensitivos con forma de cinta, emite unas ondas tranquilizadoras mediante las cuales detiene los combates.",100,23.5
701 - A,"A pesar de ser un Pokémon de pequeña estatura, su pericia en el combate le permite plantar cara a Pokémon como Machamp o Hariyama.",80,21.5
702 - A,"Sus bigotes hacen la función de antenas, por lo que puede enviar y recibir ondas eléctricas para comunicarse a grandes distancias.",20,2.2
703 - A,"Nace en las profundidades subterráneas, a altas temperaturas y a gran presión. Irradia energía por la roca que tiene en la cabeza.",30,5.7
704 - A,Es el Pokémon de tipo Dragón más débil. Habita en zonas oscuras y húmedas para evitar que su viscoso cuerpo se seque.,30,2.8
705 - A,"Segrega una mucosidad que corroe todo lo que toca y consigue así ahuyentar al enemigo. Sus ojos han involucionado, por lo que no puede ver.",80,17.5
705 - B,"Segrega una mucosidad que corroe todo lo que toca y consigue así ahuyentar al enemigo. Sus ojos han involucionado, por lo que no puede ver.",70,68.5
706 - A,"Pokémon de tipo Dragón muy afable al que le gusta abrazar con efusión a su Entrenador, aunque después lo deja totalmente pringado.",200,150.5
706 - B,"Pokémon de tipo Dragón muy afable al que le gusta abrazar con efusión a su Entrenador, aunque después lo deja totalmente pringado.",170,334.1
707 - A,"Tiene el hábito de coleccionar llaves. Cuando un enemigo lo ataca, las hace tintinear como método de intimidación.",20,3
708 - A,Pokémon que nace cuando un espíritu se adentra en un tocón podrido. Habita en bosques que son poco frecuentados por humanos.,40,7
709 - A,Puede controlar los árboles a su voluntad. Retiene hasta el fin de sus días a los humanos que se adentran en el bosque y lo mancillan.,150,71
710 - A,En el interior de la calabaza reside un espíritu que ha permanecido atrapado en este mundo. Entra en acción al caer la noche.,40,5
710 - B,En el interior de la calabaza reside un espíritu que ha permanecido atrapado en este mundo. Entra en acción al caer la noche.,30,3.5
710 - C,En el interior de la calabaza reside un espíritu que ha permanecido atrapado en este mundo. Entra en acción al caer la noche.,50,7.5
710 - D,En el interior de la calabaza reside un espíritu que ha permanecido atrapado en este mundo. Entra en acción al caer la noche.,80,15
711 - A,En las noches de luna nueva deambula por las calles de las ciudades y emite espeluznantes alaridos que maldicen a quienes los oyen.,90,12.5
711 - B,En las noches de luna nueva deambula por las calles de las ciudades y emite espeluznantes alaridos que maldicen a quienes los oyen.,70,9.5
711 - C,En las noches de luna nueva deambula por las calles de las ciudades y emite espeluznantes alaridos que maldicen a quienes los oyen.,110,14
711 - D,En las noches de luna nueva deambula por las calles de las ciudades y emite espeluznantes alaridos que maldicen a quienes los oyen.,170,39
712 - A,"Envuelve su cuerpo en una capa de hielo que le permite evitar los ataques del enemigo. Si se resquebraja, la recompone con aire gélido.",100,99.5
713 - A,"Su cuerpo, cubierto de hielo, es tan duro como el propio acero. Su abultada figura le permite arramblar con todo lo que se encuentra a su paso.",200,505
713 - B,"Su cuerpo, cubierto de hielo, es tan duro como el propio acero. Su abultada figura le permite arramblar con todo lo que se encuentra a su paso.",140,262.4
714 - A,Habita en cuevas donde reina la más absoluta oscuridad y emite ondas ultrasónicas de 200 000 Hz a través de sus enormes orejas.,50,8
715 - A,Surca el cielo nocturno cuando ni siquiera la luna brilla y ataca a presas incautas. Es imbatible en combates que tienen lugar a oscuras.,150,85
716 - A,"Según las leyendas, puede compartir el secreto de la vida eterna. Ha despertado tras dormir durante mil años bajo la apariencia de un árbol.",300,215
717 - A,"Pokémon legendario que, al extender sus alas y las plumas de la cola, emite un brillo carmesí que absorbe la energía vital de su enemigo.",580,203
718 - A,"Cuando el ecosistema de Kalos se encuentra en peligro, aparece y revela su poder secreto.",500,305
718 - B,"Cuando el ecosistema de Kalos se encuentra en peligro, aparece y revela su poder secreto.",120,33.5
718 - C,"Cuando el ecosistema de Kalos se encuentra en peligro, aparece y revela su poder secreto.",500,305
718 - D,"Cuando el ecosistema de Kalos se encuentra en peligro, aparece y revela su poder secreto.",450,610
718 - E,"Cuando el ecosistema de Kalos se encuentra en peligro, aparece y revela su poder secreto.",120,33.5
719 - A,"Es una transformación súbita de Carbink. Se dice que su cuerpo, que irradia destellos rosados, es lo más bonito de este mundo.",70,8.8
720 - A,Este problemático Pokémon envía cualquier objeto a lugares remotos mediante unos anillos que deforman el espacio.,50,9
720 - B,Este problemático Pokémon envía cualquier objeto a lugares remotos mediante unos anillos que deforman el espacio.,650,490
721 - A,Expulsa vapor y desaparece entre la densa niebla. Dicen que habita en montañas solitarias.,170,195
722 - A,"Es cauteloso, desconfiado y de naturaleza nocturna. Durante el día acumula energía mediante la fotosíntesis.",30,1.5
723 - A,"Es un poco coqueto, por lo que, cuando puede, se acicala las alas. En ocasiones se niega a combatir por temor a mancharse las plumas.",70,16
724 - A,Las plumas de sus alas le sirven de flechas con las que puede acertar a un guijarro a 100 m.,160,36.6
724 - B,Las plumas de sus alas le sirven de flechas con las que puede acertar a un guijarro a 100 m.,160,37
725 - A,Prende las bolas de pelo que se forman en su estómago tras acicalarse. Las llamas que escupe tienen formas variopintas.,40,4.3
726 - A,Luce al cuello un cascabel incandescente que tintinea con fuerza cuando desprende llamas.,70,25
727 - A,"Posee un carácter rudo y egoísta. Si un Entrenador no le cae en gracia, ignora sus órdenes con total impasibilidad.",180,83
728 - A,Se le conoce por su diligencia y predisposición. Segrega agua por la nariz para hinchar globos con los que golpea a sus rivales.,40,7.5
729 - A,Un bailarín consumado. Crea globos de agua con los que golpea a sus rivales una y otra vez sin dejar de bailar.,60,17.5
730 - A,Es capaz de controlar globos de agua mediante un canto cuya melodía se ha transmitido entre los suyos de generación en generación.,180,44
731 - A,Hace agujeros en los árboles a una velocidad de 16 picotazos por segundo y los utiliza como despensa o como su nido.,30,1.2
732 - A,Almacena en su pico las semillas de las bayas de las que se alimenta para usarlas como arma contra enemigos y posibles presas.,60,14.8
733 - A,"Cuando va a combatir, calienta su pico hasta temperaturas que superan los 100 °C, lo que puede causar graves quemaduras al contacto.",110,26
734 - A,"Sus afilados colmillos lo atraviesan todo. No es autóctono de Alola, sino que proviene de otra región.",40,6
735 - A,"Al detectar el rastro de una presa, la acecha con tenacidad, pero al ponerse el sol le vence el sueño.",70,14.2
736 - A,Con sus duras mandíbulas arranca la corteza de los árboles y sorbe la savia. Suele habitar bajo tierra.,40,4.4
737 - A,"Almacena electricidad en su cuerpo, lo que puede resultar útil en numerosas situaciones, como al salir de acampada.",50,10.5
738 - A,Sobrevuela un área en busca de presas. Puede concentrar una potente carga eléctrica entre sus mandíbulas para atacar a sus rivales.,150,45
739 - A,"Protege sus puntos débiles con las pinzas y propina puñetazos en cuanto tiene ocasión. Cuando pierde, llora lágrimas espumosas.",60,7
740 - A,"Tras perderse intentando coronar una alta montaña, desarrolló una capa de pelo para protegerse del frío.",170,180
741 - A,Junta las alas y lanza voraces llamas al rival. Su ataque se asemeja a una elaborada coreografía de fuego.,60,3.4
741 - B,Junta las alas y lanza voraces llamas al rival. Su ataque se asemeja a una elaborada coreografía de fuego.,60,3.4
741 - C,Junta las alas y lanza voraces llamas al rival. Su ataque se asemeja a una elaborada coreografía de fuego.,60,3.4
741 - D,Junta las alas y lanza voraces llamas al rival. Su ataque se asemeja a una elaborada coreografía de fuego.,60,3.4
742 - A,Se alimenta de néctar y polen. Es capaz de detectar los capullos que están a punto de abrirse.,10,0.2
743 - A,Fabrica varios tipos de bolas de polen. Algunas se usan como alimento y otras para el combate.,20,0.5
744 - A,"Su carácter amigable lo convierte en el Pokémon ideal para Entrenadores novatos. Sin embargo, al crecer suele volverse un poco agresivo.",50,9.2
744 - B,"Su carácter amigable lo convierte en el Pokémon ideal para Entrenadores novatos. Sin embargo, al crecer suele volverse un poco agresivo.",50,9.2
745 - A,"Su velocidad desconcierta a sus rivales. Ataca con garras, colmillos y con las piedras afiladas de su melena.",80,25
745 - B,"Su velocidad desconcierta a sus rivales. Ataca con garras, colmillos y con las piedras afiladas de su melena.",110,25
745 - C,"Su velocidad desconcierta a sus rivales. Ataca con garras, colmillos y con las piedras afiladas de su melena.",80,25
746 - A,"Al sentirse amenazado, sus ojos emiten cierto brillo, algo que atrae a otros miembros de su especie, y juntos luchan como un mismo ente.",20,0.3
746 - B,"Al sentirse amenazado, sus ojos emiten cierto brillo, algo que atrae a otros miembros de su especie, y juntos luchan como un mismo ente.",820,78.6
747 - A,"Aturde a su presa con los aguijones venenosos de la cabeza. Cuando esta se debilita, la rodea con sus diez extremidades y la remata.",40,8
748 - A,Se arrastra por el lecho marino con sus doce extremidades. Deja siempre una estela de restos de Corsola por donde pasa.,70,14.5
749 - A,"El lodo que impregna sus patas le otorga una fuerte tracción, lo que le permite alcanzar altas velocidades al correr.",100,110
750 - A,"El lodo que segrega por la boca se vuelve impermeable al secarse, por lo que solía usarse como capa aislante en las paredes de las casas.",250,920
751 - A,Emerge a la superficie para alimentarse. La burbuja con la que se rodea le sirve para respirar y proteger su delicada cabeza.,30,4
752 - A,Propina cabezazos con su burbuja. Los Pokémon de menor tamaño quedan atrapados en su interior y perecen ahogados.,180,82
753 - A,"Mientras que de día duerme tranquilamente a la luz del sol, al caer la noche busca un sitio más seguro para dormir.",30,1.5
754 - A,Dedica mucho tiempo y esfuerzo a acicalarse y preservar sus vivos colores. A algunos ejemplares incluso les lleva todo el día.,90,18.5
755 - A,"Cuando titila, esparce esporas luminosas a su alrededor. Todo aquel que ve esta luz cae en un profundo sueño.",20,1.5
756 - A,"Es peligroso adentrarse por la noche en un bosque habitado por Shiinotic. Su luz confunde a los caminantes, que terminan perdiéndose.",100,11.5
757 - A,Aturde a sus oponentes con un gas venenoso que produce al quemar sus fluidos corporales y luego se abalanza sobre ellos.,60,4.8
758 - A,"Por algún motivo desconocido, solo hay hembras. Suele formarse su propio harén compuesto por Salandit machos.",120,22.2
759 - A,"Pese a su aspecto encantador, cuando se enoja, sus pataletas son tan feroces que pueden derribar hasta a un luchador profesional.",50,6.8
760 - A,"Es un Pokémon muy peligroso por su fuerza descomunal. Normalmente, se desaconseja penetrar en su hábitat.",210,135
761 - A,"Atraídos por el apetitoso aroma que desprende su cuerpo, los Toucannon los engullen con avidez sin ni siquiera masticar.",30,3.2
762 - A,El cáliz de su cabeza se ha desarrollado y le protege todo el cuerpo. Es tan duro que no le importa que lo picoteen los Pokémon pájaro.,70,8.2
763 - A,Propinar patadas implacables es su especialidad. Patea a sus oponentes derrotados y proclama su victoria con una gran carcajada.,120,21.4
764 - A,"Prende flores en su tallo, que es muy rico en nutrientes. Las flores se revitalizan y desprenden una agradable fragancia.",10,0.3
765 - A,Es un Pokémon famoso por su astucia e ingenio. Desprecia a los Entrenadores novatos y prefiere a los más veteranos.,150,76
766 - A,Suele ir en grupos de unos veinte ejemplares. Sus miembros permanecen siempre unidos y nunca se abandonan unos a otros.,200,82.8
767 - A,"Cuando se asusta, huye despavorido moviendo rápidamente sus múltiples patas. Deja el suelo limpio y pulido allí por donde pasa.",50,12
768 - A,"Gracias a su destreza y sus enormes y afiladas garras, puede cortar hasta el aire y el agua de un solo tajo.",200,108
769 - A,Surgió cuando una persona murió abandonada en plena calle y su resentimiento poseyó un montículo de arena apilado por un niño.,50,70
770 - A,"Manipulando a la gente ha conseguido transformarse en todo un castillo de arena, lo que ha aumentado su poder maligno.",130,250
771 - A,Vive en las playas y en aguas poco profundas. Expulsa sus entrañas para engañar a sus depredadores y librarse de ellos.,30,1.2
772 - A,"La pesada máscara le impide liberar toda su fuerza, que se cree que es extraordinaria.",190,120.5
773 - A,La confianza con su Entrenador ha despertado su potencial. Ahora es capaz de cambiar de tipo a voluntad durante el combate.,230,100.5
774 - A,Vive en la capa de ozono hasta que su caparazón se hace demasiado pesado y cae sin remisión a tierra firme.,30,40
774 - B,Vive en la capa de ozono hasta que su caparazón se hace demasiado pesado y cae sin remisión a tierra firme.,30,40
774 - C,Vive en la capa de ozono hasta que su caparazón se hace demasiado pesado y cae sin remisión a tierra firme.,30,40
774 - D,Vive en la capa de ozono hasta que su caparazón se hace demasiado pesado y cae sin remisión a tierra firme.,30,40
774 - E,Vive en la capa de ozono hasta que su caparazón se hace demasiado pesado y cae sin remisión a tierra firme.,30,40
774 - F,Vive en la capa de ozono hasta que su caparazón se hace demasiado pesado y cae sin remisión a tierra firme.,30,40
774 - G,Vive en la capa de ozono hasta que su caparazón se hace demasiado pesado y cae sin remisión a tierra firme.,30,40
774 - H,Vive en la capa de ozono hasta que su caparazón se hace demasiado pesado y cae sin remisión a tierra firme.,30,0.3
774 - I,Vive en la capa de ozono hasta que su caparazón se hace demasiado pesado y cae sin remisión a tierra firme.,30,0.3
774 - J,Vive en la capa de ozono hasta que su caparazón se hace demasiado pesado y cae sin remisión a tierra firme.,30,0.3
774 - K,Vive en la capa de ozono hasta que su caparazón se hace demasiado pesado y cae sin remisión a tierra firme.,30,0.3
774 - L,Vive en la capa de ozono hasta que su caparazón se hace demasiado pesado y cae sin remisión a tierra firme.,30,0.3
774 - M,Vive en la capa de ozono hasta que su caparazón se hace demasiado pesado y cae sin remisión a tierra firme.,30,0.3
774 - N,Vive en la capa de ozono hasta que su caparazón se hace demasiado pesado y cae sin remisión a tierra firme.,30,0.3
775 - A,Pasa la vida entera sumido en un profundo sueño. Toda su actividad parece reflejar los sueños que tiene en ese momento.,40,19.9
776 - A,Posee un caparazón que estalla al contacto. El orificio que se aprecia en su vientre es su punto débil.,200,212
777 - A,"Cuando se siente amenazado, eriza las púas de su lomo para pinchar a quien ose atacarlo.",30,3.3
778 - A,"Su verdadero aspecto es un misterio total. Un investigador que intentó mirar dentro del saco recibió, literalmente, un susto de muerte.",20,0.7
778 - B,"Su verdadero aspecto es un misterio total. Un investigador que intentó mirar dentro del saco recibió, literalmente, un susto de muerte.",20,0.7
779 - A,"Cuando la protuberancia que tiene en la cabeza emite poderes psíquicos, se escucha como un ruido de dientes rechinando muy molesto.",90,19
780 - A,"Es de naturaleza mansa, pero si se le provoca y monta en cólera, destruye todo lo que le rodea con su aliento devastador.",300,185
781 - A,Los giros de su enorme ancla son capaces de noquear al mismísimo Wailord de un solo golpe. El alga verde es su verdadero cuerpo.,390,210
782 - A,Comunica sus sentimientos haciendo sonar sus escamas. El ruido metálico producido reverbera en las altas montañas donde habita.,60,29.7
783 - A,Se lanza sobre su presa entonando un grito de guerra. Golpea al enemigo y lo hace trizas con sus escamas.,120,47
784 - A,"Al avistar a su enemigo, lo intimida con el tintineo que producen las escamas de su cola. Los más débiles se asustan y huyen.",160,78.2
785 - A,"El espíritu guardián de Melemele, curioso e inquisitivo. Invoca nubes de tormenta y acumula el poder de los rayos en su cuerpo.",180,20.5
786 - A,"El espíritu guardián de Akala, tan inocente como cruel. La fragancia de las flores constituye su fuente de energía.",120,18.6
787 - A,Arranca de cuajo árboles grandes para hacerlos girar. Vuelve exuberante la vegetación y luego absorbe su energía.,190,45.5
788 - A,Desconcierta al enemigo provocando una espesa niebla que se convierte en su perdición. Las corrientes marinas son su fuente de energía.,130,21.2
789 - A,Su cuerpo se compone de una materia gaseosa inestable. Crece poco a poco al acumular las motas de polvo que flotan en el aire.,20,0.1
790 - A,"Permanece inmóvil, como si estuviera muerto, aunque al tocarlo se percibe un ligero calor. Antaño se le llamaba Crisálida de las Estrellas.",10,999.9
791 - A,Se cree que proviene de otro mundo. El brillo que emite su cuerpo es tal que puede hacer que la noche más profunda parezca pleno día.,340,230
792 - A,Se dice que es la evolución final hembra de Cosmog. Su tercer ojo aparece cuando se traslada a un mundo distinto.,400,120
793 - A,Un Ultraente envuelto en misterio. Se dice que las víctimas a las que posee se vuelven agresivas.,120,55.5
794 - A,Un Ultraente procedente de otro mundo. Se desconoce si exhibe su robusto cuerpo a modo de amenaza o para que lo admiren.,240,333.6
795 - A,Uno de los temibles Ultraentes. Se dice que ha sido avistado recorriendo la superficie terrestre a velocidades de vértigo.,180,25
796 - A,Un Ultraente rodeado de misterio. Se dice que su cuerpo desprende descargas eléctricas de inmensa potencia.,380,100
797 - A,Este Ultraente surgió de un Ultraumbral. Parece haber sido avistado surcando los cielos a velocidades vertiginosas.,920,999.9
798 - A,"Este Ultraente surgió de un Ultraumbral. Se dice que no es muy agresivo, pero su afilado cuerpo es un arma realmente peligrosa.",30,0.1
799 - A,Se dice que este Ultraente ha sido avistado devorando montañas enteras y tragándose prominentes edificios.,550,888
800 - A,"Se dice que yacía en el interior de la tierra. Se cree que esta criatura, parecida a un Ultraente, vino de otro mundo hace muchísimo tiempo.",240,230
800 - B,"Se dice que yacía en el interior de la tierra. Se cree que esta criatura, parecida a un Ultraente, vino de otro mundo hace muchísimo tiempo.",380,460
800 - C,"Se dice que yacía en el interior de la tierra. Se cree que esta criatura, parecida a un Ultraente, vino de otro mundo hace muchísimo tiempo.",420,350
800 - D,"Se dice que yacía en el interior de la tierra. Se cree que esta criatura, parecida a un Ultraente, vino de otro mundo hace muchísimo tiempo.",750,230
801 - A,"Pokémon artificial creado hace más de 500 años. Es capaz de entender el lenguaje humano, pero carece de la facultad del habla.",100,80.5
801 - B,"Pokémon artificial creado hace más de 500 años. Es capaz de entender el lenguaje humano, pero carece de la facultad del habla.",100,80.5
802 - A,"Debido a que siempre se ha ocultado en las sombras y no le gusta dejarse ver, su misma existencia es todo un misterio.",70,22.2
803 - A,"En su mundo, este Ultraente se considera tan entrañable como para ser elegido compañero de viaje.",60,1.8
804 - A,Una de las temibles criaturas conocidas como Ultraentes. En su cuerpo almacena cientos de litros de veneno.,360,150
805 - A,Surgió de un Ultraumbral. Parece estar compuesto de varias criaturas que se han combinado para formar un solo ser.,550,820
806 - A,Parece ser uno de los temibles Ultraentes. Se acerca a la gente contoneándose y hace explotar su propia cabeza súbitamente.,180,13
807 - A,"Hace jirones al oponente con sus garras electrificadas. Aunque este esquive los golpes, acaba electrocutado por las descargas.",150,44.5
808 - A,Su cuerpo está compuesto de acero líquido. Funde las partículas de hierro y otros metales del subsuelo para luego absorberlas.,20,8
809 - A,"En la antigüedad se le veneraba por su poder de crear hierro. Después de tres milenios, ha regresado misteriosamente.",250,800
810 - A,"Al marcar el ritmo con su baqueta especial, produce unas ondas sonoras capaces de devolver la vitalidad a la flora.",30,5
811 - A,Los Thwackey que marcan el ritmo más contundente con sus dos baquetas son los más respetados por sus congéneres.,70,14
812 - A,Controla los poderes y las raíces de su singular tocón en combate golpeándolo como si fuera un tambor.,210,90
813 - A,Se pone a correr para elevar su temperatura corporal y propagar la energía ígnea por todo el cuerpo. Desata así su verdadera fuerza.,30,4.5
814 - A,Su suave pelaje lo protege del frío y le permite incrementar todavía más la temperatura de sus movimientos de tipo Fuego.,60,9
815 - A,"Convierte piedras en balones de fuego dándoles toques y, luego, chuta con fuerza hacia el rival para chamuscarlo.",140,33
816 - A,"Cuando se espanta, libera unas lágrimas con un factor lacrimógeno equivalente a 100 cebollas para hacer llorar también al rival.",30,4
817 - A,Crea bolas de agua con el líquido que segrega por las palmas de las manos y las usa en combate de forma estratégica.,70,11.5
818 - A,Esconde algunos trucos bajo la manga: puede disparar agua por los dedos o planear con las membranas de su espalda.,190,45.2
819 - A,Este Pokémon se encuentra por todo Galar. No se queda tranquilo hasta que tiene ambos carrillos atiborrados de bayas.,30,2.5
820 - A,"Sus incisivos, de fuerza y dureza extraordinarias, le permiten mordisquear incluso las bayas más duras. Es un Pokémon muy común en Galar.",60,6
821 - A,"De naturaleza valiente, planta cara a cualquier rival, por muy fuerte que sea. Los contraataques que recibe le sirven para fortalecerse.",20,1.8
822 - A,"Su inteligencia le permite servirse de objetos. Por ejemplo, recoge y lanza piedras con las patas, o utiliza cuerdas para atrapar a su oponente.",80,16
823 - A,No tiene rival en los cielos de Galar. El acero negro y lustroso de su cuerpo intimida a cualquier adversario.,220,75
824 - A,"Siempre está recopilando información, por lo que es muy inteligente, aunque su fuerza deja bastante que desear.",40,8
825 - A,"Apenas se mueve, pero está vivo. Se cree que adquiere poderes psíquicos mientras permanece recluido en su caparazón sin comer ni beber.",40,19.5
826 - A,Este Pokémon es conocido por su inteligencia. El gran tamaño de su cerebro es un indicio de la magnitud de sus poderes psíquicos.,40,40.8
827 - A,Se sustenta con el alimento que roba a otros Pokémon. Las almohadillas de sus patas son tan blandas que no hace ningún ruido al caminar.,60,8.9
828 - A,"Marca a su presa sin ser advertido. Sigue el olor y, cuando el otro Pokémon baja la guardia, aprovecha para robarle.",120,19.9
829 - A,"Si planta su única extremidad inferior en la tierra y se expone a abundante luz solar, sus pétalos cobran un color vivo.",40,2.2
830 - A,"Las semillas que tiene entre la pelusa son muy nutritivas. Arrastradas por el viento, devuelven la vitalidad a la flora y a otros Pokémon.",50,2.5
831 - A,Su lana rizada es tan acolchada que no se hace daño ni aunque se caiga por un precipicio.,60,6
832 - A,Su lana es muy flexible. Las alfombras tejidas con ella adoptan una textura similar a la de las camas elásticas.,130,43
833 - A,"Muerde todo lo que se le ponga por delante. Al parecer, lo hace para aliviar el dolor que siente cuando le crecen los incisivos.",30,8.5
834 - A,"Un Pokémon de temperamento feroz que atenaza a su presa con sus fuertes mandíbulas, capaces de destrozar una barra de hierro.",100,115.5
835 - A,"Al correr, genera electricidad por la base de la cola. Es muy popular entre los pastores de Galar.",30,13.5
836 - A,La electricidad que genera y envía a sus patas le ayuda a desplazarse rápidamente. Puede correr sin descanso durante tres días y tres noches.,100,34
837 - A,Fue descubierto hace aproximadamente 400 años en una mina. Casi la totalidad de su cuerpo presenta una composición igual a la del carbón.,30,12
838 - A,Forma carbón en el interior de su cuerpo. Los antiguos habitantes de Galar lo aprovechaban para sus labores diarias.,110,78
839 - A,"Aunque es de carácter sereno, monta en cólera si ve a seres humanos dañando una mina y reduce todo a cenizas con sus llamas a 1500 °C.",280,310.5
840 - A,"Habita durante toda su vida en el interior de una manzana. Finge ser una fruta para protegerse de los Pokémon pájaro, sus enemigos naturales.",20,0.5
841 - A,Ha evolucionado tras ingerir una manzana ácida. Las bolsas de las mejillas albergan un fluido cuya extrema acidez llega a provocar quemaduras.,30,1
842 - A,"Ha evolucionado tras ingerir una manzana dulce. De ahí que el olor que emana para atraer a sus presas, los Pokémon insecto, sea tan agradable.",40,13
843 - A,"Almacena la arena que ingiere al perforar hoyos en la saca del cuello, cuya capacidad llega a alcanzar incluso los 8 kg.",220,7.6
844 - A,Se retuerce para expulsar por los orificios nasales hasta 100 kg de arena. La ausencia de esta mina su ánimo.,380,65.5
845 - A,"Su colosal potencia le permite machacar al rival de un solo golpe, aunque su carácter despistado lo lleva a olvidarse de su presencia.",80,18
845 - B,"Su colosal potencia le permite machacar al rival de un solo golpe, aunque su carácter despistado lo lleva a olvidarse de su presencia.",80,18
845 - C,"Su colosal potencia le permite machacar al rival de un solo golpe, aunque su carácter despistado lo lleva a olvidarse de su presencia.",80,18
846 - A,"Se siente muy orgulloso de su afilada mandíbula. En cuanto detecta el más mínimo movimiento, va directo al objetivo para cargar contra él.",50,1
847 - A,"Su mandíbula es tan puntiaguda como una lanza y tan dura como el acero. Al parecer, su carne es sorprendentemente deliciosa.",130,30
848 - A,Secreta toxinas por la piel y las almacena en una bolsa de veneno interna. Tocarlo da calambre.,40,11
849 - A,"Cuando rasga las protuberancias del pecho para generar energía eléctrica, emite un sonido similar al de una guitarra, que reverbera en el entorno.",160,40
849 - B,"Cuando rasga las protuberancias del pecho para generar energía eléctrica, emite un sonido similar al de una guitarra, que reverbera en el entorno.",160,40
850 - A,Genera calor consumiendo el gas inflamable que almacena en su cuerpo. Los círculos amarillos del abdomen están particularmente calientes.,70,1
851 - A,"Cuando genera calor, su temperatura corporal alcanza aproximadamente los 800 °C. Usa el cuerpo a modo de látigo para lanzarse al ataque.",300,120
852 - A,Emerge a tierra firme en busca de alimento. Su extrema curiosidad lo induce a golpear con los tentáculos todo lo que entra en su campo visual.,60,4
853 - A,Todo su cuerpo es una mole de puro músculo. Utiliza los tentáculos para ejecutar técnicas de estrangulamiento con una formidable potencia.,160,39
854 - A,"Según se dice, este Pokémon surgió de un alma solitaria que poseyó una taza abandonada llena de un té ya frío.",10,0.2
855 - A,"Se hospeda en teteras dignas de un anticuario. Las originales son escasísimas, pero existe un gran número de burdas falsificaciones.",20,0.4
856 - A,Percibe los sentimientos de los seres vivos con la protuberancia de la cabeza. Solo abre su corazón a quienes muestren un carácter sosegado.,40,3.4
857 - A,Silencia a cualquiera que muestre una emoción intensa sin importar de quién se trate y recurre para ello a métodos a cuál más violento.,60,4.8
858 - A,"Para mantener alejados a los demás seres vivos, emana a su alrededor ondas psíquicas cuya potencia es capaz de provocar jaquecas.",210,5.1
859 - A,"Con el fin de revitalizarse, inhala por la nariz la energía negativa que desprenden tanto personas como Pokémon cuando están descontentos.",40,5.5
860 - A,"Su estrategia consiste en postrarse ante el rival y fingir una disculpa para ensartarlo con el mechón que tiene en la espalda, afilado cual lanza.",80,12.5
861 - A,"Cuando enrolla sus cabellos por todo el cuerpo, aumenta su potencia muscular. Posee una fuerza capaz de someter a Machamp.",150,61
862 - A,La potencia de su voz es realmente pasmosa. La técnica que usa para intimidar al rival mientras grita recibe el nombre de Obstrucción.,160,46
863 - A,El pelo de la cabeza se le ha endurecido hasta el punto de parecer un yelmo de hierro. Posee un temperamento muy combativo.,80,28
864 - A,Su energía espiritual ha aumentado hasta hacerlo desprenderse de su base caliza. Protege el alma del núcleo con su cuerpo espectral.,100,0.4
865 - A,Los ejemplares que superan numerosos combates evolucionan y adoptan esta forma. Abandonan el terreno de combate en cuanto el puerro se seca.,80,117
866 - A,Es un bailarín consumado de claqué. Agita su bastón de hielo mientras exhibe su destreza con gráciles pasos.,150,58.2
867 - A,"Una poderosa maldición pesa sobre esta antigua imagen grabada, que ha cobrado vida tras adueñarse del alma de Yamask.",160,66.6
868 - A,Su cremoso cuerpo surgió a partir de la unión de partículas odoríferas de dulces aromas presentes en el aire.,20,0.3
869 - A,Obsequia bayas decoradas con nata a aquellos Entrenadores en los que confía.,30,0.5
870 - A,"Este Pokémon consta de cinco subalternos y un líder, cuyas órdenes obedecen sin rechistar.",300,62
871 - A,Libera electricidad por la punta de las púas. Con sus afilados dientes raspa las algas pegadas a las rocas para ingerirlas.,30,1
872 - A,Teje un hilo gélido que le permite aferrarse a las ramas y simula ser un carámbano mientras duerme.,30,3.8
873 - A,"La temperatura de sus alas es de -180 °C. Sobrevuela el campo esparciendo sus gélidas escamas, como si de nieve se tratase.",130,42
874 - A,Pasa el tiempo observando inmóvil el recorrido del sol sobre las extensas praderas que habita. Se especializa en técnicas de ágiles patadas.,250,520
875 - A,La corriente lo ha transportado hasta aquí desde un lugar sumamente gélido. Utiliza el hielo para mantener la cara refrigerada en todo momento.,140,89
875 - B,La corriente lo ha transportado hasta aquí desde un lugar sumamente gélido. Utiliza el hielo para mantener la cara refrigerada en todo momento.,140,89
876 - A,Percibe las emociones del objetivo con los cuernos de la cabeza. Los machos están atentos a cualquier cosa que necesite su Entrenador.,90,28
876 - B,Percibe las emociones del objetivo con los cuernos de la cabeza. Los machos están atentos a cualquier cosa que necesite su Entrenador.,90,28
877 - A,Siempre tiene hambre. Se nutre de las semillas que guarda en una suerte de bolsillos para generar electricidad.,30,3
877 - B,Siempre tiene hambre. Se nutre de las semillas que guarda en una suerte de bolsillos para generar electricidad.,30,3
878 - A,Su constitución fornida le permite transportar sin inmutarse cargas de 5 toneladas. Utiliza la trompa para excavar la tierra.,120,100
879 - A,Su piel verdosa es resistente al agua. Proviene de tierras lejanas y presta ayuda a las personas en la realización de ciertos trabajos.,300,650
880 - A,"La robustez de su tren inferior lo hacía invencible en la antigüedad, pero se extinguió tras comerse todas las plantas de las que se nutría.",180,190
881 - A,"La parte superior del cuerpo está congelada y, al temblar, genera electricidad. Camina con suma dificultad.",230,150
882 - A,"Su excelente capacidad motriz y la fuerza de su mandíbula lo hacían antaño invencible, pero dar caza a todas sus presas propició su extinción.",230,215
